Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent,Country
113,Polytechnic University of Catalonia,0.0,0.3428571428571428,0.0,1.7128389154704942,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Spain
114,University of Bonn,0.0,6.166666666666666,0.0,44.225000000000016,1.1666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
115,Nanjing University,0.0,17.39285714285714,0.0,24.3345238095238,3.388095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
116,TU Darmstadt,0.0,20.885714285714283,0.0,82.61904761904763,20.29160561660561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
117,Chinese Academy of Sciences,0.0,12.32103174603174,0.0,60.34542545268357,6.115873015873016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
118,City University of Hong Kong,0.0,4.665415140415139,0.0,20.546536796536788,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Hong Kong
119,KTH Royal Institute of Technology,0.0,4.850432900432901,0.0,6.456060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Sweden
120,CUHK (SZ),0.0,7.64642857142857,0.0,33.074278499278485,1.94047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
121,POSTECH,0.0,7.833333333333333,0.0,113.38214285714288,1.2777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,South Korea
122,University of New Mexico,0.0,0.5095238095238094,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
123,VinUniversity,0.0,2.825,0.0,4.666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Vietnam
124,Duke University,0.0,33.39329004329004,0.0,21.778510378510376,4.986904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
125,Sun Yat-sen University,0.0,7.199542124542125,0.0,53.1119047619048,16.373809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
126,University of Adelaide,0.0,14.499639249639246,0.0,73.48874458874464,1.3777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,Australia
127,Univ. of California - Santa Cruz,0.0,23.846428571428564,0.0,12.438131313131308,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
128,University of Modena and Reggio Emilia,0.0,5.9,0.0,43.63015873015872,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Italy
129,TU Berlin,0.0,17.77741702741703,0.0,26.490331890331884,2.8409090909090904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
130,University of Copenhagen,0.0,17.730158730158728,0.0,26.566907799802543,42.60082972582972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Denmark
131,University of Chicago,0.0,33.365343915343914,0.0,46.52698412698411,6.960714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
132,AUEB,0.0,1.8333333333333333,0.0,1.2,4.781045751633986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Greece
133,Hunan University,0.0,1.1523809523809525,0.0,7.078571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
134,University of Central Florida,0.0,9.603571428571428,0.0,32.86746031746033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
135,Jadavpur University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,India
136,University of Trento,0.0,4.059523809523809,0.0,13.122222222222218,7.251190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Italy
137,Universidad de los Andes,0.0,3.757575757575758,0.0,16.14415584415584,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South America,Colombia
138,TU Delft,0.0,11.688095238095238,0.0,17.83658008658009,1.9333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Netherlands
139,University of Warsaw,0.0,1.3407467532467532,0.0,0.6909090909090909,0.5818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Poland
140,Univ. of California - Santa Barbara,0.0,10.085353535353535,0.0,16.077380952380945,13.167604617604615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
141,University of Würzburg,0.0,11.846825396825396,0.0,121.12523448773447,1.9357142857142853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
142,UFPE,0.0,2.283333333333333,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South America,Brazil
143,Karlsruhe Institute of Technology,0.0,5.417857142857142,0.0,18.23809523809523,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
144,Middle East Technical University,0.0,0.7,0.0,5.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Turkey
145,University of Southern California,0.0,36.99318500127323,0.0,32.96672714540362,18.063386407194454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
146,Washington University in St. Louis,0.0,6.983333333333334,0.0,3.3666666666666663,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
147,Utrecht University,0.0,2.5,0.0,0.95,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Netherlands
148,Xiamen University,0.0,3.819047619047619,0.0,31.952380952380945,0.6468253968253967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
149,Brigham Young University,0.0,1.8166666666666664,0.0,2.944444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
150,Hanyang University,0.0,0.25,0.0,1.4499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,South Korea
151,Purdue University,0.0,30.615476190476183,0.0,8.290873015873014,2.826190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
152,Yonsei University,0.0,4.95952380952381,0.0,37.123809523809534,0.2159090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,South Korea
153,JKU Linz,0.0,15.016666666666667,0.0,24.01944444444444,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Austria
154,National Tsing Hua University,0.0,1.1166666666666667,0.0,16.85238095238095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Taiwan
155,Texas A&M University,0.0,13.131385281385285,0.0,15.482142857142854,1.0333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
156,Beihang University,0.0,2.4535714285714283,0.0,7.469480519480518,2.9178571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
157,Westlake University,0.0,4.5004329004329,0.0,5.833766233766234,1.7617424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
158,University of Massachusetts Amherst,0.0,50.25064006042267,0.0,51.68375603864734,20.60099206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
159,University of Utah,0.0,9.03690476190476,0.0,12.248015873015872,8.305158730158729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
160,Radboud University,0.0,10.484992784992784,0.0,3.411684514316093,0.4166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Netherlands
161,Goldsmiths University of London,0.0,0.5833333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
162,ISI Kolkata,0.0,0.5,0.0,0.95,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,India
163,University at Buffalo,0.0,12.063095238095237,0.0,10.599718381976444,3.11978021978022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
164,Graz University of Technology,0.0,4.90952380952381,0.0,34.7143646893647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Austria
165,Université Jean Monnet,0.0,3.75,0.0,4.619047619047619,1.4714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,France
166,Ohio State University,0.0,18.647619047619045,0.0,12.126190476190477,0.211111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
167,OHSU,0.0,0.1428571428571428,0.0,2.071428571428571,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
168,Cardiff University,0.0,3.999999999999999,0.0,96.856684981685,15.833333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
169,University of Tokyo,0.0,20.70833333333333,0.0,48.762373737373785,2.011111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Japan
170,Griffith University,0.0,1.9,0.0,1.0357142857142856,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,Australia
171,Keio University,0.0,0.25,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Japan
172,Dartmouth College,0.0,4.695238095238095,0.0,16.876785714285713,0.4761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
173,National Institute of Informatics,0.0,4.083333333333332,0.0,23.40357142857143,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Japan
174,National Taiwan University,0.0,7.427777777777777,0.0,20.89993894993893,9.073809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Taiwan
175,Beijing Jiaotong University,0.0,2.375,0.0,16.458730158730155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
176,University of Waterloo,0.0,33.51511544011542,0.0,32.78571428571428,23.07510822510822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
177,BUPT,0.0,3.28531746031746,0.0,14.889682539682536,3.017099567099567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
178,Wayne State University,0.0,0.8666666666666666,0.0,7.86547619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
179,Carleton University,0.0,2.25,0.0,0.9833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
