Full Name,Normalized Score
Enmao Diao,0.1111111111111111
Jie Ding,0.1111111111111111
Vahid Tarokh,0.1111111111111111
Ian Fette,0.25
Alexey Melnikov,0.25
Andrew Hard,0.015625
Chlo ´e M Kiddon,0.015625
Daniel Ramage,0.015625
Francoise Beaufays,0.015625
Hubert Eichner,0.015625
Kanishka Rao,0.015625
Rajiv Mathews,0.015625
Sean Augenstein,0.015625
Kaiming He,0.0625
Xiangyu Zhang,0.0625
Shaoqing Ren,0.0625
Jian Sun,0.0625
Bing Luo,0.04
Xiang Li,0.04
Shiqiang Wang,0.04
Jianwei Huang,0.04
Leandros Tassiulas,0.04
Na Dong,0.0625
Yongqiang Zhang,0.0625
Ming Ding,0.0625
Gim Hee Lee,0.0625
K. J. Joseph,0.027777777777777776
Jathushan Rajasegaran,0.027777777777777776
Salman H. Khan 0001,0.027777777777777776
Fahad Shahbaz Khan,0.027777777777777776
Vineeth N. Balasubramanian,0.027777777777777776
Can Peng,0.1111111111111111
Kun Zhao 0001,0.1111111111111111
Brian C. Lovell,0.1111111111111111
Zhi Tian,0.0625
Chunhua Shen,0.0625
Hao Chen,0.0625
Tong He,0.0625
Zhizhong Li,0.25
Derek Hoiem,0.25
Mousumi Banerjee,0.0625
Michelle Capozzoli,0.0625
Laura McSweeney,0.0625
Debajyoti Sinha,0.0625
E Paige Lloyd,0.027777777777777776
Jason C Deska,0.027777777777777776
Kurt Hugenberg,0.027777777777777776
Allen R Mc-Connell,0.027777777777777776
Brandon T Humphrey,0.027777777777777776
Jonathan W Kunstman,0.027777777777777776
Mohamed Abouelenien,0.0625
Verónica Pérez-Rosas,0.0625
Rada Mihal-cea,0.0625
Mihai Burzo,0.0625
Jens Allwood,0.027777777777777776
Loredana Cerrato,0.027777777777777776
Laila Dybkjaer,0.027777777777777776
Kristiina Jokinen,0.027777777777777776
Costanza Navarretta,0.027777777777777776
Patrizia Paggio,0.027777777777777776
Brandon Amos,0.1111111111111111
Bartosz Ludwiczuk,0.1111111111111111
Mahadev Satya-narayanan,0.1111111111111111
Stephen Boyd,0.1111111111111111
Stephen P Boyd,0.1111111111111111
Lieven Vandenberghe,0.1111111111111111
Bo Yang,0.0625
Xiao Fu 0001,0.0625
Nicholas D. Sidiropoulos,0.0625
Mingyi Hong 0001,0.0625
Mathilde Caron,0.027777777777777776
Ishan Misra,0.027777777777777776
Julien Mairal,0.027777777777777776
Priya Goyal,0.027777777777777776
Pi- otr Bojanowski,0.027777777777777776
Armand Joulin,0.027777777777777776
Jun Cen,0.04
Peng Yun,0.04
Junhao Cai,0.04
Michael Yu Wang,0.04
Ming Liu,0.04
Shiwei Zhang,0.015625
Di Luan,0.015625
Mingqian Tang,0.015625
Sara Beery,0.015625
Yang Liu,0.015625
Dan Morris,0.015625
Jim Piavis,0.015625
Ashish Kapoor,0.015625
Neel Joshi,0.015625
Markus Meister,0.015625
Pietro Perona,0.015625
Abhijit Bendale,0.25
Terrance Boult,0.25
Hermann Blum,0.04
Paul-Edouard Sarlin,0.04
