Full Name,Normalized Score
Amir Beck,0.25
Marc Teboulle,0.25
Kim L Boyer,0.25
Avinash C Kak,0.25
David Burke,0.1111111111111111
Abhijeet Ghosh,0.1111111111111111
Wolfgang Heidrich,0.1111111111111111
Tongbo Chen,0.1111111111111111
Hans-Peter Seidel,0.1111111111111111
Hendrik PA Lensch,0.1111111111111111
Nicholas Carlini,0.25
David A. Wagner 0001,0.25
Minhao Cheng,0.027777777777777776
Thong Le,0.027777777777777776
Pin-Yu Chen,0.027777777777777776
Huan Zhang,0.027777777777777776
Jin- Feng Yi,0.027777777777777776
Cho-Jui Hsieh,0.027777777777777776
Andrew Ilyas,0.1111111111111111
Logan Engstrom,0.1111111111111111
Aleksander Madry,0.1111111111111111
Name1,0.1111111111111111
Name2,0.1111111111111111
Name3,0.1111111111111111
Chen Ma,0.027777777777777776
Chenxu Zhao,0.027777777777777776
Hailin Shi,0.027777777777777776
Li Chen,0.027777777777777776
Junhai Yong,0.027777777777777776
Dan Zeng,0.027777777777777776
Chelsea Finn,0.1111111111111111
Pieter Abbeel,0.1111111111111111
Sergey Levine,0.1111111111111111
Da Li,0.0625
Yongxin Yang,0.0625
Yi-Zhe Song,0.0625
Timothy M Hospedales,0.0625
Ya Li,0.02040816326530612
Xinmei Tian,0.02040816326530612
Mingming Gong,0.02040816326530612
Yajing Liu,0.02040816326530612
Tongliang Liu,0.02040816326530612
Kun Zhang,0.02040816326530612
Dacheng Tao,0.02040816326530612
Geoff French,0.1111111111111111
Michal Mackiewicz,0.1111111111111111
Mark Fisher,0.1111111111111111
Yogesh Balaji,0.1111111111111111
Swami Sankaranarayanan,0.1111111111111111
Rama Chel-lappa,0.1111111111111111
Florian Bernard,0.027777777777777776
Johan Thunberg,0.027777777777777776
Peter Gemmar,0.027777777777777776
Frank Hertel,0.027777777777777776
Andreas Husch,0.027777777777777776
Jorge Goncalves,0.027777777777777776
Avishek Chatterjee,0.25
Venu Madhav Govindu,0.25
Unknown,1.0
Shang-Hua Gao,0.027777777777777776
Qi Han,0.027777777777777776
Duo Li,0.027777777777777776
Pai Peng,0.027777777777777776
Ming-Ming Cheng,0.027777777777777776
Golnaz Ghiasi,0.1111111111111111
Tsung-Yi Lin,0.1111111111111111
Quoc V Le,0.1111111111111111
Chenxi Liu,0.01
Barret Zoph,0.01
Maxim Neumann,0.01
Jonathon Shlens,0.01
Wei Hua,0.01
Li-Jia Li,0.01
Li Fei-Fei,0.01
Alan Yuille,0.01
Jonathan Huang,0.01
Kevin Murphy,0.01
Yun Liu,0.027777777777777776
Yu-Huan Wu,0.027777777777777776
Pei-Song Wen,0.027777777777777776
Yu-Jun Shi,0.027777777777777776
Yu Qiu,0.027777777777777776
Wangjiang Zhu,0.04
Jie Hu,0.04
Gang Sun,0.04
Xudong Cao,0.04
Yu Qiao,0.04
Nayyer Aafaq,0.04
Naveed Akhtar,0.04
Wei Liu,0.04
Syed Zulqarnain Gilani,0.04
Ajmal Mian,0.04
Jo ˜ao Carreira,0.25
Andrew Zisserman,0.25
David Chen,0.25
William B Dolan,0.25
Shaoxiang Chen,0.25
Yu-Gang Jiang,0.25
Shu Kong,0.25
Charless Fowlkes,0.25
Oisin Mac Aodha,0.1111111111111111
Elijah Cole,0.1111111111111111
Pietro Perona,0.1111111111111111
Joan Bruna,0.0625
Wojciech Zaremba,0.0625
Arthur Szlam,0.0625
Yann Le- Cun,0.0625
Dongliang Chang,0.012345679012345678
Yifeng Ding,0.012345679012345678
Jiyang Xie,0.012345679012345678
Ayan Kumar B-hunia,0.012345679012345678
Xiaoxu Li,0.012345679012345678
Zhanyu Ma,0.012345679012345678
Ming Wu,0.012345679012345678
Jun Guo,0.012345679012345678
Yi- Zhe Song,0.012345679012345678
Yue Chen,0.0625
Yalong Bai,0.0625
Wei Zhang,0.0625
Tao Mei,0.0625
Kaiming He,0.0625
Xiangyu Zhang,0.0625
Shaoqing Ren,0.0625
Jian Sun,0.0625
Rupesh K Srivastava,0.1111111111111111
Klaus Greff,0.1111111111111111
J ¨urgen Schmidhuber,0.1111111111111111
Jiahao Su,0.04
Wonmin Byeon,0.04
Furong Huang,0.04
Jan Kautz,0.04
Animashree Anandkumar,0.04
Ruben Villegas,0.04
Jimei Yang,0.04
Seunghoon Hong,0.04
Xunyu Lin,0.04
Honglak Lee,0.04
Yuliang Zou,0.027777777777777776
Sungryull Sohn,0.027777777777777776
Jimmy Lei Ba,0.1111111111111111
Jamie Ryan Kiros,0.1111111111111111
Geoffrey E Hin- ton,0.1111111111111111
Liang-Chieh Chen,0.04
George Papandreou,0.04
Iasonas Kokkinos,0.04
Alan L Yuille,0.04
Jifeng Dai,0.02040816326530612
Haozhi Qi,0.02040816326530612
Yuwen Xiong,0.02040816326530612
Yi Li,0.02040816326530612
Guodong Zhang,0.02040816326530612
Han Hu,0.02040816326530612
Yichen Wei,0.02040816326530612
Georgia Gkioxari,0.0625
Piotr Doll ´ar,0.0625
Ross Gir- shick,0.0625
Zhao Pei,0.04
Yanning Zhang,0.04
Tao Yang,0.04
Xiuwei Zhang,0.04
Yee-Hong Yang,0.04
Henri Rebecq,0.0625
Rene Ranftl,0.0625
Vladlen Koltun,0.0625
Davide Scaramuzza,0.0625
Olga Russakovsky,0.01
Jia Deng,0.01
Hao Su,0.01
Jonathan Krause,0.01
San- jeev Satheesh,0.01
Sean Ma,0.01
Zhiheng Huang,0.01
Andrej Karpathy,0.01
Aditya Khosla,0.01
Michael Bernstein,0.01
Guillermo Gallego,0.008264462809917356
Tobi Delbruck,0.008264462809917356
Garrick Michael Orchard,0.008264462809917356
Chiara Bartolozzi,0.008264462809917356
Brian Taba,0.008264462809917356
Andrea Censi,0.008264462809917356
Stefan Leutenegger,0.008264462809917356
Andrew Davison,0.008264462809917356
Jorg Conradt,0.008264462809917356
Kostas Dani- ilidis,0.008264462809917356
Alvaro Gomariz Carrillo,0.04
Weiye Li,0.04
Ece Ozkan,0.04
Christine Tanner,0.04
Orcun Goksel,0.04
Özgün Çiçek,0.04
Ahmed Abdulkadir,0.04
Soeren S. Lienkamp,0.04
Thomas Brox,0.04
Olaf Ronneberger,0.04
Xingyi Zhou,0.1111111111111111
Dequan Wang,0.1111111111111111
Philipp Kr ¨ahenb ¨uhl,0.1111111111111111
Diego Ardila,0.01
Atilla P Kiraly,0.01
Sujeeth Bharadwaj,0.01
Bokyung Choi,0.01
Joshua J Reicher,0.01
Lily Peng,0.01
Daniel Tse,0.01
Mozziyar Etemadi,0.01
Wenxing Ye,0.01
Greg Corrado,0.01
Min Bai,0.0625
Wenjie Luo,0.0625
Kaustav Kundu,0.0625
Raquel Urtasun,0.0625
Wenbo Bao,0.027777777777777776
Wei-Sheng Lai,0.027777777777777776
Chao Ma,0.027777777777777776
Xiaoyun Zhang,0.027777777777777776
Zhiyong Gao,0.027777777777777776
Ming-Hsuan Yang,0.027777777777777776
Michael J Black,0.25
Padmanabhan Anandan,0.25
Alexander Kirillov,0.04
Ross Girshick,0.04
Carsten Rother,0.04
Piotr Dollar,0.04
Deyvid Kochanov,0.1111111111111111
Fatemeh Karimi Nejadasl,0.1111111111111111
Olaf Booij,0.1111111111111111
Philipp Fischer,0.1111111111111111
OpenPCDet Development Team,1.0
Jens Behley,0.02040816326530612
Martin Garbade,0.02040816326530612
Andres Milioto,0.02040816326530612
Jan Quen-zel,0.02040816326530612
Sven Behnke,0.02040816326530612
Cyrill Stachniss,0.02040816326530612
Jurgen Gall,0.02040816326530612
Zhaopeng Cui,0.04
Jinwei Gu,0.04
Boxin Shi,0.04
Ping Tan,0.04
Richard Perez,0.1111111111111111
Robert Seals,0.1111111111111111
Joseph Michalsky,0.1111111111111111
Gary A Atkinson,0.25
Edwin R Hancock,0.25
Seung-Hwan Baek,0.0625
Daniel S Jeon,0.0625
Xin Tong,0.0625
Min H Kim,0.0625
Edward Collett,1.0
Qi Fan,0.0625
Wei Zhuo,0.0625
Chi-Keung Tang,0.0625
Yu-Wing Tai,0.0625
Tao Kong,0.027777777777777776
Fuchun Sun,0.027777777777777776
Huaping Liu,0.027777777777777776
Yuning Jiang,0.027777777777777776
Lei Li,0.027777777777777776
Jianbo Shi,0.027777777777777776
Bo Li,0.04
Junjie Yan,0.04
Wei Wu,0.04
Zheng Zhu,0.04
Xiaolin Hu,0.04
Zixin Luo,0.012345679012345678
Lei Zhou,0.012345679012345678
Xuyang Bai,0.012345679012345678
Hongkai Chen,0.012345679012345678
