Full Name,Normalized Score
Jens Behley,0.02040816326530612
Martin Garbade,0.02040816326530612
Andres Milioto,0.02040816326530612
Jan Quenzel,0.02040816326530612
Sven Behnke,0.02040816326530612
Cyrill Stachniss,0.02040816326530612
Jürgen Gall,0.02040816326530612
Christopher Choy,0.1111111111111111
JunYoung Gwak,0.1111111111111111
Pulkit Agrawal,0.1111111111111111
Joao Carreira,0.1111111111111111
Jitendra Malik,0.1111111111111111
Liefeng Bo,0.1111111111111111
Xiaofeng Ren,0.1111111111111111
Dieter Fox,0.1111111111111111
Piotr Bojanowski,0.25
Armand Joulin,0.25
Mathilde Caron,0.0625
Matthijs Douze,0.0625
Adam Coates,0.1111111111111111
Andrew Ng,0.1111111111111111
Honglak Lee,0.1111111111111111
Da-Wei Zhou 0001,0.25
Yuanhan Zhang,0.25
Yan Wang,0.25
Jingyi Ning,0.25
Han-Jia Ye,0.25
De-Chuan Zhan,0.25
Ziwei Liu 0002,0.25
Rahaf Aljundi,0.04
Francesca Babiloni,0.04
Mohamed Elhoseiny,0.04
Marcus Rohrbach,0.04
Tinne Tuytelaars,0.04
Punarjay Chakravarty,0.1111111111111111
Eden Belouadah,0.25
Adrian Popescu 0001,0.25
Guanying Chen,0.04
Kai Han,0.04
Boxin Shi,0.04
Yasuyuki Matsushita,0.04
Kwan-Yee K Wong,0.04
Abhishek Kar,0.1111111111111111
Christian H ¨ane,0.1111111111111111
Brian Karis,0.25
Epic Games,0.25
Duan Gao,0.027777777777777776
Xiao Li,0.027777777777777776
Yue Dong,0.027777777777777776
Pieter Peers,0.027777777777777776
Kun Xu,0.027777777777777776
Xin Tong,0.027777777777777776
Olivier Chapelle,0.25
Mingrui Wu,0.25
Djork-Arn 'e Clevert,0.1111111111111111
Thomas Unterthiner,0.1111111111111111
Sepp Hochre-iter,0.1111111111111111
Zhen-Hua Feng,0.04
Josef Kittler,0.04
Muhammad Awais,0.04
Patrik Huber,0.04
Xiao-Jun Wu,0.04
Chuan Guo,0.0625
Geoff Pleiss,0.0625
Yu Sun,0.0625
Kilian Weinberger,0.0625
Ali Harakeh,0.1111111111111111
Michael Smart,0.1111111111111111
Steven Waslander,0.1111111111111111
Pengfei Fang,0.04
Jieming Zhou,0.04
Soumava Kumar Roy,0.04
Lars Petersson,0.04
Mehrtash Harandi,0.04
Maurice Fréchet,1.0
Zhiwu Huang,0.04
Ruiping Wang,0.04
Shiguang Shan,0.04
Xianqiu Li,0.04
Xilin Chen,0.04
Hiroyuki Sato,0.1111111111111111
Hiroyuki Kasai,0.1111111111111111
Bamdev Mishra,0.1111111111111111
Qilong Wang,0.04
Peihua Li,0.04
Qinghua Hu,0.04
Pengfei Zhu,0.04
Wangmeng Zuo,0.04
Chandrasekhar Bhagavatula,0.0625
Chenchen Zhu,0.0625
Khoa Luu,0.0625
Marios Savvides,0.0625
Xavier Glorot,0.25
Author1,0.25
Author2,0.25
Thabo Beeler,0.04
Bernd Bickel,0.04
Paul A. Beardsley,0.04
Bob Sumner,0.04
Markus H. Gross,0.04
Adrian Bulat,0.25
Georgios Tzimiropoulos,0.25
Christopher B. Choy,0.1111111111111111
Jaesik Park,0.1111111111111111
Vladlen Koltun,0.1111111111111111
Olaf Ronneberger,0.1111111111111111
Vassileios Balntas,0.0625
Karel Lenc,0.0625
Andrea Vedaldi,0.0625
Krystian Mikolajczyk,0.0625
Jia-Wang Bian,0.02040816326530612
Yu-Huan Wu,0.02040816326530612
Ji Zhao 0001,0.02040816326530612
Yun Liu 0011,0.02040816326530612
Le Zhang 0001,0.02040816326530612
Ming-Ming Cheng,0.02040816326530612
Ian Reid 0001,0.02040816326530612
Vijay Badrinarayanan,0.1111111111111111
Alex Kendall,0.1111111111111111
Roberto Cipolla,0.1111111111111111
Han Cai,0.1111111111111111
Ligeng Zhu,0.1111111111111111
Song Han,0.1111111111111111
Maxwell Collins,0.015625
Barret Zoph,0.015625
Jon Shlens,0.015625
Iasonas Kokkinos,0.04
Alan L Yuille,0.04
Adam Dziedzic,0.04
John Paparrizos,0.04
Sanjay Krishnan,0.04
Aaron J. Elmore,0.04
Michael J. Franklin,0.04
Chih-Chung Hsu,0.1111111111111111
Chia-Yen Lee,0.1111111111111111
Yi-Xiu Zhuang,0.1111111111111111
Name3,0.1111111111111111
Yupeng Cheng,0.04
Huazhu Fu,0.04
Xingxing Wei,0.04
Jiangjian Xi-ao,0.04
Xiaochun Cao,0.04
Nianyi Li,0.04
Jinwei Ye,0.04
Yu Ji,0.04
Haibin Ling,0.04
Jingyi Yu,0.04
Quanquan Li,0.1111111111111111
Shengying Jin,0.1111111111111111
Junjie Yan,0.1111111111111111
Yifan Liu,0.027777777777777776
Ke Chen,0.027777777777777776
Chris Liu,0.027777777777777776
Zengchang Qin,0.027777777777777776
Zhenbo Luo,0.027777777777777776
Jingdong Wang,0.027777777777777776
Zhe Wu,0.1111111111111111
Li Su,0.1111111111111111
Qingming Huang,0.1111111111111111
David Berthelot,0.027777777777777776
Nicholas Carlini,0.027777777777777776
Nicolas Papernot,0.027777777777777776
Avital Oliver,0.027777777777777776
Colin Raffel,0.027777777777777776
Piotr Doll ´ar,0.1111111111111111
Olivier J H enaff,0.04
Ali Razavi,0.04
Carl Doersch,0.04
SM Eslami,0.04
Aaron van den Oord,0.04
Augustus Odena,0.04
Colin A Raffel,0.04
Ekin Dogus Cubuk,0.04
Mircea Cimpoi,0.04
Subhransu Maji,0.04
Sammy Mohamed,0.04
Amir Saffari,0.04
Martin Godec,0.04
Thomas Pock,0.04
Christian Leistner,0.04
Horst Bischof,0.04
Boris Babenko,0.1111111111111111
Ming-Hsuan Yang 0001,0.1111111111111111
Serge J. Belongie,0.1111111111111111
David L Donoho,0.25
Jain M Johnstone,0.25
Fangzhou Liao,0.027777777777777776
Ming Liang,0.027777777777777776
Yinpeng Dong,0.027777777777777776
Tianyu Pang,0.027777777777777776
Xiaolin Hu,0.027777777777777776
Jun Zhu,0.027777777777777776
Stephane G Mallat,1.0
Aharon Azulay,0.25
Yair Weiss,0.25
Roberto Cipol-la,0.1111111111111111
Diederik P Kingma,0.25
Jimmy Ba,0.25
Ziyang Ma,0.04
Yichen Wei,0.04
En-hua Wu,0.04
Connelly Barnes,0.0625
Eli Shechtman,0.0625
Adam Finkelstein,0.0625
Dan B Goldman,0.0625
Chris Buehler,0.04
Michael Bosse,0.04
Leonard McMillan,0.04
Steven Gortler,0.04
Michael Cohen,0.04
Zhao Fu,0.0625
Dawei Yang,0.0625
Alejo Concha,0.25
Javier Civera,0.25
Viorela Ila,0.1111111111111111
Josep M Porta,0.1111111111111111
Juan Andrade-Cetto,0.1111111111111111
Patrik Schmuck,0.25
Margarita Chli,0.25
Henrik Kretzschmar,0.25
Kazuto Nakashima,1.0
Kevin J Shih,0.027777777777777776
Aysegul Dundar,0.027777777777777776
Animesh Garg,0.027777777777777776
Robert Pot-torf,0.027777777777777776
Andrew Tao,0.027777777777777776
Bryan Catanzaro,0.027777777777777776
Hang Su,0.027777777777777776
Varun Jampani,0.027777777777777776
Deqing Sun,0.027777777777777776
Orazio Gallo,0.027777777777777776
Erik Learned-Miller,0.027777777777777776
Jan Kautz,0.027777777777777776
Andrew Brock,0.1111111111111111
Jeff Donahue,0.1111111111111111
Karen Simonyan,0.1111111111111111
Holger Caesar,0.1111111111111111
Jasper Uijlings,0.1111111111111111
Vittorio Ferrari,0.1111111111111111
Xi Peng,0.04
Xiang Yu,0.04
Kihyuk Sohn,0.04
Dimitris Metaxas,0.04
Manmohan Chandraker,0.04
Jérôme Louradour,0.0625
Ronan Collobert,0.0625
Jaison Weston,0.0625
Jiankang Deng,0.1111111111111111
Jia Guo,0.1111111111111111
Stefanos Zafeiriou,0.1111111111111111
Yuge Huang,0.015625
Pengcheng Shen,0.015625
Ying Tai,0.015625
Shaoxin Li,0.015625
Xi- aoming Liu,0.015625
Jilin Li,0.015625
Rongrong Ji,0.015625
Weitian Huang,0.0625
Ming Yin,0.0625
Jianzhong Li,0.0625
Shengli Xie,0.0625
