Full Name,Normalized Score
Sin 'ead Kearney,0.04
Wenbin Li,0.04
Martin Parsons,0.04
Kwang In Kim,0.04
Darren Cosker,0.04
Sergey Prokudin,0.1111111111111111
Christoph Lassner,0.1111111111111111
Javier Romero,0.1111111111111111
Andrei Zanfir,0.027777777777777776
Eduard Gabriel Bazavan,0.027777777777777776
Hongyi Xu,0.027777777777777776
William T Freeman,0.027777777777777776
Rahul Sukthankar,0.027777777777777776
Cristian Sminchisescu,0.027777777777777776
Silvia Zufﬁ,0.1111111111111111
Angjoo Kanazawa,0.1111111111111111
Michael J Black,0.1111111111111111
Benjamin Biggs,0.0625
Thomas Roddick,0.0625
Andrew Fitzgibbon,0.0625
Roberto Cipolla,0.0625
Aayush Bansal,0.04
Minh V o,0.04
Yaser Sheikh,0.04
Deva Ramanan,0.04
Srinivasa Narasimhan,0.04
Wenbo Bao,0.027777777777777776
Wei-Sheng Lai,0.027777777777777776
Chao Ma,0.027777777777777776
Xiaoyun Zhang,0.027777777777777776
Zhiy- ong Gao,0.027777777777777776
Ming-Hsuan Yang,0.027777777777777776
Mojtaba Bemana,0.0625
Karol Myszkowski,0.0625
Hans-Peter Seidel,0.0625
Tobias Ritschel,0.0625
Michael Broxton,0.01
John Flynn,0.01
Ryan Overbeck,0.01
Daniel Erickson,0.01
Peter Hedman,0.01
Matthew Duvall,0.01
Jason Dourgarian,0.01
Jay Busch,0.01
Matt Whalen,0.01
Paul Debevec,0.01
Kaiming He,0.0625
Xiangyu Zhang,0.0625
Shaoqing Ren,0.0625
Jian Sun,0.0625
Xiaozhi Chen,0.02040816326530612
Kaustav Kundu,0.02040816326530612
Yukun Zhu,0.02040816326530612
Andrew G Berneshawi,0.02040816326530612
Huimin Ma,0.02040816326530612
Sanja Fidler,0.02040816326530612
Raquel Urtasun,0.02040816326530612
Xinzhu Ma,0.027777777777777776
Zhihui Wang,0.027777777777777776
Haojie Li,0.027777777777777776
Pengbo Zhang,0.027777777777777776
Xin Fan,0.027777777777777776
Wanli Ouyang,0.027777777777777776
Yinmin Zhang,0.02040816326530612
Dan Xu,0.02040816326530612
Dongzhan Zhou,0.02040816326530612
Shuai Yi,0.02040816326530612
Xuepeng Shi,0.027777777777777776
Qi Ye,0.027777777777777776
Chuangrong Chen,0.027777777777777776
Zhixiang Chen,0.027777777777777776
TaeKyun Kim,0.027777777777777776
Yijun Li,0.04
Ming-Yu Liu,0.04
Xueting Li,0.04
Jan Kautz,0.04
Bing Wang,0.008264462809917356
Changhao Chen,0.008264462809917356
Zhaopeng Cui,0.008264462809917356
Jie Qin,0.008264462809917356
Chris Xiaoxuan Lu,0.008264462809917356
Zhengdi Yu,0.008264462809917356
Peijun Zhao,0.008264462809917356
Zhen Dong,0.008264462809917356
Fan Zhu,0.008264462809917356
Niki Trigoni,0.008264462809917356
Andrew Markham,0.008264462809917356
Yuan Yao,0.1111111111111111
Yasamin Jafarian,0.1111111111111111
Hyun Soo Park,0.1111111111111111
Hugo Germain,0.1111111111111111
Vincent Lepetit,0.1111111111111111
Guillaume Bourmaud,0.1111111111111111
Xun Huang,0.0625
Serge Belongie,0.0625
Brandon Amos,0.1111111111111111
Bartosz Ludwiczuk,0.1111111111111111
Mahadev Satya-narayanan,0.1111111111111111
Adrian Bulat,0.25
Georgios Tzimiropoulos,0.25
Zhe Cao,0.0625
Tomas Simon,0.0625
Shih-En Wei,0.0625
Ruihuang Li,0.027777777777777776
Changqing Zhang,0.027777777777777776
Huazhu Fu,0.027777777777777776
Xi Peng,0.027777777777777776
Tianyi Zhou,0.027777777777777776
Qinghua Hu,0.027777777777777776
Dheeru Dua,0.25
Casey Graff,0.25
Xiaochun Cao,0.04
Si Liu,0.04
Hua Zhang,0.04
Man-Sheng Chen,0.0625
Ling Huang,0.0625
Chang-Dong Wang,0.0625
Dong Huang,0.0625
St ´ephan Clemenc ¸on,0.1111111111111111
G ´abor Lugosi,0.1111111111111111
Nicolas Vayatis,0.1111111111111111
James Booth,0.027777777777777776
Epameinondas Antonakos,0.027777777777777776
Stylianos Ploumpis,0.027777777777777776
George Trigeorgis,0.027777777777777776
Yannis Panagakis,0.027777777777777776
Stefanos Zafeiriou,0.027777777777777776
Pascal Bérard,0.0625
Derek Bradley,0.0625
Markus H. Gross,0.0625
Thabo Beeler,0.0625
V olker Blanz,0.25
Thomas Vetter,0.25
Anastasios Roussos,0.02040816326530612
Evangelos Ververas,0.02040816326530612
Allan Ponniah,0.04
David Dunaway,0.04
