Full Name,Normalized Score
Thorsten Joachims,1.0
Da Li,0.0625
Yongxin Yang,0.0625
Yi-Zhe Song,0.0625
Timothy Hospedales,0.0625
Brian Lester,0.1111111111111111
Rami Al-Rfou,0.1111111111111111
Noah Constant,0.1111111111111111
Juncheng Li,0.012345679012345678
Xin He,0.012345679012345678
Longhui Wei,0.012345679012345678
Long Qian,0.012345679012345678
Linchao Zhu,0.012345679012345678
Lingxi Xie,0.012345679012345678
Yueting Zhuang,0.012345679012345678
Qi Tian,0.012345679012345678
Siliang Tang,0.012345679012345678
Jianxiong Xiao,0.04
James Hays,0.04
Krista A Ehinger,0.04
Aude Oliva,0.04
Antonio Torralba,0.04
Name1,0.1111111111111111
Name2,0.1111111111111111
Name3,0.1111111111111111
Jean-Baptiste Alayrac,0.01
Jeff Donahue,0.01
Pauline Luc,0.01
Antoine Miech,0.01
Iain Barr,0.01
Yana Hasson,0.01
Karel Lenc,0.01
Arthur Mensch,0.01
Katie Millican,0.01
Malcolm Reynolds,0.01
Tom Brown,0.01
Benjamin Mann,0.01
Nick Ryder,0.01
Melanie Sub-biah,0.01
Jared D Kaplan,0.01
Prafulla Dhariwal,0.01
Arvind Neelakantan,0.01
Pranav Shyam,0.01
Girish Sastry,0.01
Amanda Askell,0.01
Rishi Bommasani,0.01
Drew A Hudson,0.01
Ehsan Adeli,0.01
Russ Alt-man,0.01
Simran Arora,0.01
Sydney von Arx,0.01
Michael S Bernstein,0.01
Jeannette Bohg,0.01
Antoine Bosselut,0.01
Emma Brunskill,0.01
Saeid Asgari,0.02040816326530612
Aliasghar Khani,0.02040816326530612
Fereshte Khani,0.02040816326530612
Ali Gholami,0.02040816326530612
Linh Tran,0.02040816326530612
Ali Mahdavi-Amiri,0.02040816326530612
Ghassan Hamarneh,0.02040816326530612
Zhiheng Li,0.015625
Ivan Evtimov,0.015625
Albert Gordo,0.015625
Caner Hazirbas,0.015625
Tal Hassner,0.015625
Cristian Canton Ferrer,0.015625
Chenliang Xu,0.015625
Mark Ibrahim,0.015625
Alistair EW Johnson,0.015625
Tom J Pollard,0.015625
Seth J Berkowitz,0.015625
Nathaniel R Greenbaum,0.015625
Matthew P Lungren,0.015625
Chih-ying Deng,0.015625
Roger G Mark,0.015625
Steven Horng,0.015625
Lianbo Zhang,0.0625
Shaoli Huang,0.0625
Wei Liu,0.0625
Dacheng Tao,0.0625
Xiaosong Wang,0.027777777777777776
Yifan Peng,0.027777777777777776
Le Lu,0.027777777777777776
Zhiyong Lu,0.027777777777777776
Mo- hammadhadi Bagheri,0.027777777777777776
Ronald M Summers,0.027777777777777776
Xiaoyi Dong,0.006944444444444444
Yinglin Zheng,0.006944444444444444
Jianmin Bao,0.006944444444444444
Ting Zhang,0.006944444444444444
Dongdong Chen,0.006944444444444444
Hao Y ang,0.006944444444444444
Ming Zeng,0.006944444444444444
Weiming Zhang,0.006944444444444444
Lu Y uan,0.006944444444444444
Dong Chen,0.006944444444444444
Fang Wen,0.006944444444444444
Nenghai Y u,0.006944444444444444
Ioannis Kakogeorgiou,0.02040816326530612
Spyros Gidaris,0.02040816326530612
Bill Psomas,0.02040816326530612
Y an- nis Avrithis,0.02040816326530612
Andrei Bursuc,0.02040816326530612
Konstantinos Karantzalos,0.02040816326530612
Nikos Komodakis,0.02040816326530612
Mahmoud Assran,0.012345679012345678
Mathilde Caron,0.012345679012345678
Ishan Misra,0.012345679012345678
Piotr Bo-janowski,0.012345679012345678
Florian Bordes,0.012345679012345678
Pascal Vincent,0.012345679012345678
Armand Joulin,0.012345679012345678
Michael Rabbat,0.012345679012345678
Nicolas Ballas,0.012345679012345678
Hangbo Bao,0.1111111111111111
Li Dong,0.1111111111111111
Furu Wei,0.1111111111111111
Ting Chen 0007,0.0625
Simon Kornblith,0.0625
Mohammad Norouzi 0002,0.0625
Geoffrey E. Hinton,0.0625
Milad Alizadeh,0.0625
Javier Fernández-Marqués,0.0625
Nicholas D Lane,0.0625
Yarin Gal,0.0625
Mehdi Bahri,0.1111111111111111
Ga ´etan Bahl,0.1111111111111111
Stefanos Zafeiriou,0.1111111111111111
Haoli Bai,0.012345679012345678
Wei Zhang,0.012345679012345678
Lu Hou,0.012345679012345678
Lifeng Shang,0.012345679012345678
Jin Jin,0.012345679012345678
Xin Jiang,0.012345679012345678
Qun Liu,0.012345679012345678
Michael R Lyu,0.012345679012345678
Irwin King,0.012345679012345678
Yu Bai,0.1111111111111111
Yu-Xiang Wang,0.1111111111111111
Edo Liberty,0.1111111111111111
Xintong Han,0.04
Zuxuan Wu,0.04
Zhe Wu 0001,0.04
Ruichi Yu,0.04
Larry S. Davis,0.04
Zhe Cao,0.0625
Tomas Simon,0.0625
Shih-En Wei,0.0625
Yaser Sheikh,0.0625
Aiyu Cui,0.0625
Sen He,0.0625
Tao Xiang,0.0625
Antoine Toisoul,0.0625
Shuai Bai,0.04
Huiling Zhou,0.04
Zhikang Li,0.04
Chang Zhou,0.04
Hongxia Yang,0.04
Daniel McKee,0.1111111111111111
Svetlana Lazebnik,0.1111111111111111
Bin Bi,0.015625
Chenliang Li,0.015625
Chen Wu,0.015625
Ming Yan,0.015625
Wei Wang,0.015625
Song- fang Huang,0.015625
Fei Huang,0.015625
Luo Si,0.015625
Ian Goodfellow,0.015625
Jean Pouget-Abadie,0.015625
Mehdi Mirza,0.015625
Bing Xu,0.015625
David Warde-Farley,0.015625
Sherjil Ozair,0.015625
Aaron Courville,0.015625
Yoshua Bengio,0.015625
Shuyang Gu,0.015625
Bo Zhang,0.015625
Lu Yuan,0.015625
Baining Guo,0.015625
Niki Parmar,0.02040816326530612
Ashish Vaswani,0.02040816326530612
Jakob Uszkoreit,0.02040816326530612
Lukasz Kaiser,0.02040816326530612
Noam Shazeer,0.02040816326530612
Alexander Ku,0.02040816326530612
Dustin Tran,0.02040816326530612
Aditya Ramesh,0.015625
Mikhail Pavlov,0.015625
Gabriel Goh,0.015625
Scott Gray,0.015625
Chelsea Voss,0.015625
Alec Radford,0.015625
Mark Chen,0.015625
Ilya Sutskever,0.015625
Alexey Dosovitskiy,0.01
Lucas Beyer,0.01
Alexander Kolesnikov,0.01
Dirk Weissenborn,0.01
Xiaohua Zhai,0.01
Thomas Unterthiner,0.01
Mostafa Dehghani,0.01
Matthias Minderer,0.01
Georg Heigold,0.01
Syl- vain Gelly,0.01
Panos Achlioptas,0.04
Ahmed Abdelreheem,0.04
Fei Xia,0.04
Mohamed Elhoseiny,0.04
Leonidas Guibas,0.04
Katherine Millican,0.008264462809917356
Roman Ring,0.008264462809917356
Eliza Rutherford,0.008264462809917356
Serkan Cabi,0.008264462809917356
Tengda Han,0.008264462809917356
Zhitao Gong,0.008264462809917356
Sina Samangooei,0.008264462809917356
Marianne Monteiro,0.008264462809917356
Jacob L. Menick,0.008264462809917356
Sebastian Borgeaud,0.008264462809917356
Andy Brock,0.008264462809917356
Aida Nematzadeh,0.008264462809917356
Sahand Sharifzadeh,0.008264462809917356
Mikolaj Binkowski,0.008264462809917356
Ricardo Barreira,0.008264462809917356
Oriol Vinyals,0.008264462809917356
Andrew Zisserman,0.008264462809917356
Karén Simonyan,0.008264462809917356
Daichi Azuma,0.0625
Taiki Miyanishi,0.0625
Shuhei Kurita,0.0625
Motoaki Kawanabe,0.0625
Eslam Mohamed Bakr,0.1111111111111111
Yasmeen Alsaedy,0.1111111111111111
Mohamed El- hoseiny,0.1111111111111111
Feng Li,0.027777777777777776
Hao Zhang,0.027777777777777776
Shilong Liu,0.027777777777777776
Lei Zhang,0.027777777777777776
Lionel M Ni,0.027777777777777776
Heung-Yeung Shum,0.027777777777777776
Peize Sun,0.02040816326530612
Yi Jiang,0.02040816326530612
Enze Xie,0.02040816326530612
Wenqi Shao,0.02040816326530612
Zehuan Yuan,0.02040816326530612
Changhu Wang,0.02040816326530612
Ping Luo,0.02040816326530612
Holger Caesar,0.01
Varun Bankiti,0.01
Alex H Lang,0.01
Sourabh V ora,0.01
Venice Erin Liong,0.01
Qiang Xu,0.01
Anush Krishnan,0.01
Yu Pan,0.01
Giancarlo Baldan,0.01
Oscar Beijbom,0.01
Nicolas Carion,0.027777777777777776
Francisco Massa,0.027777777777777776
Gabriel Synnaeve,0.027777777777777776
Nicolas Usunier,0.027777777777777776
Alexander Kirillov,0.027777777777777776
Sergey Zagoruyko,0.027777777777777776
Qiang Chen,0.027777777777777776
Yingming Wang,0.027777777777777776
Tong Yang,0.027777777777777776
Xiangyu Zhang,0.027777777777777776
Jian Cheng,0.027777777777777776
Jian Sun,0.027777777777777776
P-A Absil,0.1111111111111111
Christopher G Baker,0.1111111111111111
KYLE A GALLIVAN,0.1111111111111111
Rafal Ablamowicz,0.25
Garret Sobczyk,0.25
Bijan Afsari,1.0
William K. Allard,1.0
Jonathan T. Barron,0.25
Ben Poole,0.25
Adam Bielski,0.25
Paolo Favaro,0.25
Ali Borji,0.0625
Ming-Ming Cheng,0.0625
Huaizu Jiang,0.0625
Jia Li,0.0625
Tero Karras,0.027777777777777776
Samuli Laine,0.027777777777777776
Miika Aittala,0.027777777777777776
Janne Hellsten,0.027777777777777776
Jaakko Lehtinen,0.027777777777777776
Timo Aila,0.027777777777777776
Rameen Abdal,0.0625
Yipeng Qin,0.0625
Peter Wonka,0.0625
Peihao Zhu,0.0625
Niloy J Mitra,0.0625
Yuval Alaluf,0.04
Omer Tov,0.04
Ron Mokady,0.04
Rinon Gal,0.04
Amit Bermano,0.04
Mathieu Aubry,0.1111111111111111
Ulrich Schlickewei,0.1111111111111111
Daniel Cremers,0.1111111111111111
Daniel Bolya,0.0625
Chong Zhou,0.0625
Fanyi Xiao,0.0625
Yong Jae Lee,0.0625
Shaoyu Chen,0.04
Jiemin Fang,0.04
Qian Zhang,0.04
Wenyu Liu,0.04
Xinggang Wang,0.04
Bowen Cheng,0.04
Alexander G Schwing,0.04
Rohit Girdhar,0.04
