Full Name,Normalized Score
Name1,0.1111111111111111
Name2,0.1111111111111111
Name3,0.1111111111111111
Connelly Barnes,0.0625
Eli Shechtman,0.0625
Adam Finkelstein,0.0625
Dan B Goldman,0.0625
Mate Beljan,0.1111111111111111
Jens Ackermann,0.1111111111111111
Michael Goesele,0.1111111111111111
Brian Curless,0.25
Marc Levoy,0.25
Chang Yao,0.0625
Yuri Lu,0.0625
Hang Liu,0.0625
Menghan Hu,0.0625
Qingli Li,0.0625
Aditya Bhaskara,0.1111111111111111
Sharvaree Vadgama,0.1111111111111111
Hong Xu,0.1111111111111111
Davis W. Blalock,0.0625
Jose Javier Gonzalez Ortiz,0.0625
Jonathan Frankle,0.0625
John V. Guttag,0.0625
Sebastian Bosse,0.04
Dominique Maniry,0.04
Klaus-Robert Müller,0.04
Thomas Wiegand,0.04
Wojciech Samek,0.04
Xiangyi Chen,0.0625
Sijia Liu,0.0625
Ruoyu Sun,0.0625
Mingyi Hong,0.0625
Liyuan Liu,0.02040816326530612
Haoming Jiang,0.02040816326530612
Pengcheng He,0.02040816326530612
Weizhu Chen,0.02040816326530612
Xiaodong Liu,0.02040816326530612
Jianfeng Gao,0.02040816326530612
Jiawei Han,0.02040816326530612
Karen Simonyan,0.25
Andrew Zisserman,0.25
Diederik P. Kingma,0.25
Jimmy Ba,0.25
Yann N. Dauphin,0.0625
Harm de Vries,0.0625
Junyoung Chung,0.0625
Yoshua Bengio,0.0625
Arun Mallya,0.25
Svetlana Lazebnik,0.25
Arslan Chaudhry,0.0625
Marc’Aurelio Ranzato,0.0625
Marcus Rohrbach,0.0625
Mohamed Elhoseiny,0.0625
Thalaiyasingam Ajanthan,0.02040816326530612
Puneet K Dokania,0.02040816326530612
Philip HS Torr,0.02040816326530612
Yang Liu,0.0625
Jishun Guo,0.0625
Deng Cai,0.0625
Xiaofei He,0.0625
Elyor Kodirov,0.1111111111111111
Tao Xiang,0.1111111111111111
Shaogang Gong,0.1111111111111111
Bo Liu,0.1111111111111111
Qiulei Dong,0.1111111111111111
Zhanyi Hu,0.1111111111111111
Lu Liu,0.04
Tianyi Zhou,0.04
Guodong Long,0.04
Jing Jiang,0.04
Chengqi Zhang,0.04
Vincent Dumoulin,0.1111111111111111
Jonathon Shlens,0.1111111111111111
Manjunath Kudlur,0.1111111111111111
Xudong Mao,0.027777777777777776
Qing Li,0.027777777777777776
Haoran Xie,0.027777777777777776
Raymond YK Lau,0.027777777777777776
Zhen Wang,0.027777777777777776
Stephen Paul Smolley,0.027777777777777776
Peng-Shuai Wang,0.04
Yu-Xiao Guo,0.04
Chun-Yu Sun,0.04
Xin Tong,0.04
Panos Achlioptas,0.0625
Olga Diamanti,0.0625
Ioannis Mitliagkas,0.0625
Leonidas J Guibas,0.0625
Heli Ben-Hamu,0.04
Haggai Maron,0.04
Itay Kezurer,0.04
Gal Avineri,0.04
Yaron Lipman,0.04
Yin Cui,0.04
Menglin Jia,0.04
Tsung-Yi Lin,0.04
Yang Song,0.04
Serge Belongie,0.04
Jianzhu Guo,0.027777777777777776
Xiangyu Zhu,0.027777777777777776
Chenxu Zhao,0.027777777777777776
Dong Cao,0.027777777777777776
Zhen Lei,0.027777777777777776
Stan Z Li,0.027777777777777776
Xiaoting Wu,0.04
Elhocine Boutellaa,0.04
Miguel Bordallo L ´opez,0.04
Xiaoyi Feng,0.04
Abdenour Hadid,0.04
Marcin Andrychowicz,0.015625
Misha Denil,0.015625
Sergio Gomez,0.015625
Matthew W Hoffman,0.015625
David Pfau,0.015625
Tom Schaul,0.015625
Brendan Shillingford,0.015625
Nando De Freitas,0.015625
Xingyu Huang,0.04
Hongmei Song,0.04
Wenguan Wang,0.04
Sanyuan Zhao,0.04
Jianbing Shen,0.04
Kin-Man Lam,0.04
Wang Wenguan,0.1111111111111111
Shen Jianbing,0.1111111111111111
Shao Ling,0.1111111111111111
Radhakrishna Achanta,0.0625
Sheila Hemami,0.0625
Francisco Estrada,0.0625
Sabine Susstrunk,0.0625
Yuri Y Boykov,0.25
M-P Jolly,0.25
Sergi Caelles,0.027777777777777776
Kevis-Kokitsi Maninis,0.027777777777777776
Jordi Pont-Tuset,0.027777777777777776
Laura Leal-Taix ´e,0.027777777777777776
Daniel Cremers,0.027777777777777776
Luc Van Gool,0.027777777777777776
Hiroharu Kato,0.1111111111111111
Yoshitaka Ushiku,0.1111111111111111
Tatsuya Harada,0.1111111111111111
Rameen Abdal,0.0625
Yipeng Qin,0.0625
Peter Wonka,0.0625
Vijay Badrinarayanan,0.1111111111111111
Alex Kendall,0.1111111111111111
Roberto Cipolla,0.1111111111111111
Andrew D Bagdanov,0.1111111111111111
Alberto Del Bimbo,0.1111111111111111
Iacopo Masi,0.1111111111111111
David Bau,0.02040816326530612
Jun-Yan Zhu,0.02040816326530612
Jonas Wulff,0.02040816326530612
William Peebles,0.02040816326530612
Hendrik Strobelt,0.02040816326530612
Bolei Zhou,0.02040816326530612
Antonio Torralba,0.02040816326530612
Henry Abbott,1.0
Xuelin Chen,0.0625
Daniel Cohen-Or,0.0625
Baoquan Chen,0.0625
Niloy J Mitra,0.0625
